,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
149,Tucker Kraft,GNB,TE,25,8,8,0,0,0,0,0,1,3,3.00,0,44,32,489,15.28,6,0,0,6,,,85,117.2,120.2,101.2,,17,,KrafTu00
150,Malik Washington,MIA,WR,24,17,6,0,0,0,0,0,17,110,6.47,1,65,46,317,6.89,3,1,1,5,,,71,116.7,123.7,93.7,,55,,WashMa00
151,Elic Ayomanor,TEN,WR,22,16,14,0,0,0,0,0,0,0,,0,89,41,515,12.56,4,0,0,4,,,76,116.5,119.5,96.0,,51,,AyomEl00
152,Cooper Kupp,SEA,WR,32,16,15,0,1,0,0,1,0,0,,0,70,47,593,12.62,2,1,1,2,1,,69,116.3,121.3,93.8,,56,,KuppCo00
153,J.K. Dobbins,DEN,RB,27,10,9,0,0,0,0,0,153,772,5.05,4,14,11,37,3.36,0,0,0,4,,,105,115.9,118.9,110.4,,37,,DobbJK00
154,Jayden Daniels,WAS,QB,25,7,7,114,188,1262,8,3,58,278,4.79,2,0,0,0,,0,3,2,2,,1,114,114.3,125.3,117.3,,34,,DaniJa02
155,Terry McLaurin,WAS,WR,30,10,10,0,0,0,0,0,0,0,,0,60,38,582,15.32,3,0,0,3,,,76,114.2,117.2,95.2,,50,,McLaTe00
156,Ryan Flournoy,DAL,WR,26,16,4,0,0,0,0,0,4,25,6.25,0,56,40,475,11.88,4,0,0,4,,,74,114.0,117.0,94.0,,52,,FlouRy00
157,Pat Freiermuth,PIT,TE,27,17,8,0,0,0,0,0,0,0,,0,54,41,486,11.85,4,0,0,4,,,73,113.6,116.6,93.1,,22,,FreiPa00
158,Mack Hollins,NWE,WR,32,15,13,0,0,0,0,0,1,4,4.00,0,65,46,550,11.96,2,1,0,2,,,67,113.4,116.4,90.4,,58,,HollMa00
159,T.J. Hockenson,MIN,TE,28,15,15,0,0,0,0,0,1,0,0.00,0,66,51,438,8.59,3,0,0,3,,,62,112.8,115.8,87.3,,29,,HockTJ00
